NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
119;Man;51;Fler än 150000 invånare;12;Ja;12;14;Ja;15;Homosexuell;Ja;15;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;;;;;;;;;;;;X;;;;X;;;;;;;;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater och en psykolog;Nej;X;;;;;;Ja;Ja, jag har varit ängslig och orolig;Nej
120;Man;60;Fler än 150000 invånare;13;Ja;18;18;Ja;18;Homosexuell;Ja;19;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;X;;X;;;;;;;;;X;;;;X;;;;;;;;;Studerande;;;;Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
121;Man;61;Fler än 150000 invånare;14;Ja;17;14;Ja;16;Homosexuell;Ja;14;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Inget svar;Inget svar; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
122;Man;46;Fler än 150000 invånare;10;Ja;12;15;Ja;16;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;X;;;;X;;;;X;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
123;Kvinna;50;Fler än 150000 invånare;23;Ja;24;23;Ja;24;Bisexuell;Ja;22;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Ja, jag sammanbor nu med en kvinna;Ja, jag har tidigare sammanbott med en man (män);Ja;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Inget svar;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;
124;Man;27;10000-40000 invånare;12;Ja;16;22;Ja;30;Homosexuell;Ja;23;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;28;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Ja;Nej;Nej;Nej;Ja;;Ja;Ja, jag sammanbor nu med en kvinna;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag har inga arbetskamrater eller studiekamrater;Jag har inga arbetskamrater (studiekamrater); ; ; ; ;Jag har inga arbetskamrater (studiekamrater);Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
125;Man;42;10000-40000 invånare;13;Ja;21;13;Ja;23;Homosexuell;Ja;17;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;X;;;;;;;;;;;;X;;;;;;;;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
126;Man;43;Fler än 150000 invånare;12;Ja;14;16;Ja;16;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, det har jag aldrig gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Ja;Nej;Nej;Nej;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;;;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykolog;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
127;Man;47;Fler än 150000 invånare;15;Ja;12;15;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;18;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Ja;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
128;Man;62;Fler än 150000 invånare;10;Ja;12;15;Ja;16;Homosexuell;Ja;16;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;Studerande;;;;Alla vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga;Jag har aldrig förvärvsarbetet; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
129;Man;47;Fler än 150000 invånare;14;Ja;22;13;Ja;24;Homosexuell;Ja;28;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;;;;X;;;;;;;;;X;;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Jag har diskriminerats;;;X;;;76;Har svarat i fritextfältet;Nej;;Nej;;;;;;;;;Nej;
130;Man;57;10000-40000 invånare;12;Ja;16;15;Inget svar;0;Homosexuell;Ja;18;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Ja;Ja;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;X;;;;;;X;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ja, någon/några har undvikit kontakt med mig;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
131;Man;52;Fler än 150000 invånare;13;Ja;27;15;Ja;21;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för en bekant;;X;;X;;;;;;;;;;;X;;X;;;;;;;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
132;Man;49;Fler än 150000 invånare;15;Ja;26;15;Ja;26;Homosexuell;Ja;17;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Ja;Ja;;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;X;X;;;X;;;;;;;;;;;;X;X;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
133;Man;45;Fler än 150000 invånare;15;Ja;25;20;Ja;25;Homosexuell;Ja;25;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Inget svar; ;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;X;;;;;;;;X;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater och en psykolog;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
134;Man;37;10000-40000 invånare;12;Ja;14;18;Ja;19;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Nej;Nej;Inget svar;;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;;X;;;;;;;;;;X;;;;;;;;;;;Förvärvsarbe;Övriga;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
135;Man;21;Jag bor på landsbygden;14;Ja;14;21;Ja;25;Homosexuell;Ja;25;Nej;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Ja;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Inget svar;;Flera vet eller förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar; ; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;;;Ja, någon/några har varit ovänliga eller fientliga;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
136;Man;44;Fler än 150000 invånare;15;Ja;18;15;Ja;25;Homosexuell;Ja;26;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det har jag alltid gjort;Jag träffar homo/bisexuella vänner mycket sällan;Ja;26;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;X;;;;;;;;;;;;;;;X;;;;X;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
137;Man;52;Färre än 10000 invånare;20;Ja;25;20;Ja;25;Homosexuell;Ja;20;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Nej;Nej;Nej;Nej;Ja;;Nej;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;Förvärvsarbe;Jordbruk, fiske, skogsbruk;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
138;Man;53;40000-150000 invånare;8;Jag har aldrig haft sexuellt umgänge med någon av samma kön;Jag har aldrig haft sexuellt umgänge med någon av samma kön;10;Ja;15;Homosexuell;Ja;13;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Nej, det har jag aldrig gjort;Jag har inga homo/bisexuella vänner;Jag har så vitt jag vet inte lärt känna en homo- eller bisexuell person; ;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Framgår inte, inget svar;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
139;Man;56;Fler än 150000 invånare;15;Ja;17;20;Ja;20;Homosexuell;Ja;22;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
140;Man;32;40000-150000 invånare;13;Ja;13;18;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;18;Nej;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Ja;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;X;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
141;Man;7;Fler än 150000 invånare;20;Ja;20;22;Ja;25;Homosexuell;Ja;25;Nej;Nej;Ja, det har jag alltid gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;30;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;Pensionär;;;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;X;;;;Ja, någon/några har undvikit kontakt med mig;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
142;Man;46;Fler än 150000 invånare;7;Ja;22;14;Ja;19;Homosexuell;Ja;14;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;31;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Ja;Nej;Ja;Nej;Ja;Nej;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;X;X;;;X;;;X;X;X;;X;;;;;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;
143;Man;22;Färre än 10000 invånare;16;Ja;25;18;Ja;30;Homosexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;45;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;;;;;;X;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;;X;;Ja, någon/några har varit ovänliga eller fientliga;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
144;Man;51;Fler än 150000 invånare;10;Ja;11;11;Ja;14;Inget svar;Inget svar;;Inget svar;9;9;9;Inget svar; ;Inget svar;9;9;9;9;9;Nej;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;;;;;;;X;Nej;Ja, jag har varit ängslig och orolig;Ja
145;Man;57;40000-150000 invånare;13;Ja;19;12;Ja;16;Homosexuell;Ja;14;Nej;Nej;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;19;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Ja;;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;"Hantverk, ""gestaltande"" yrken (frisör), tv/cykelreparationer";Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Inget svar;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
146;Man;26;Fler än 150000 invånare;15;Ja;18;15;Inget svar;0;Homosexuell;Ja;17;Nej;Nej;Ja, det gör jag under långa perioder;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Inget svar; ;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
